row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Peak area,
44,348.17627525121804,0.80326617,,,,,,,,,,,102972.586,80022.445,100385.52,53737.086,52295.332,56333.42,80161.984,55435.18,69737.586,87856.22,0,
45,250.16514173758816,0.8047727,,,,,,,,,,,485707.38,394524.34,481737.84,775283.06,872261.5,339393.3,417932.94,304824.25,380375.5,375278.16,0,
47,296.1347404375309,0.8047727,,,,,,,,,,,119685.695,123365.19,124770.98,102829.9,107750.01,96397.516,101973.875,89065.7,91184.63,107891.14,0,
48,319.1003693052956,0.8047727,,,,,,,,,,,179362.81,201201.53,189536.17,180178.88,204984.66,138493.62,148970.31,136886.78,134466.92,146347.39,0,
49,338.18123331367457,0.8047727,,,,,,,,,,,128225.016,136874.19,140882.17,113048.64,123929.23,108346.766,123983.836,100811.82,118595.914,127445.37,0,
53,305.0846157757866,0.8047727,,,,,,,,,,,177449.53,177046.94,171817.2,134138.2,138608.42,87036.19,128095.43,78177.98,127495.23,131951.28,0,
54,324.1655696055142,0.8047727,,,,,,,,,,,226036.66,213001.28,228552.31,165631.69,184504.23,158117.56,173195.31,153306.05,173724.73,206938.95,0,
55,349.1109711200071,0.8047727,,,,,,,,,,,281675.8,296054.06,283097.2,248079.14,180236.61,171136.2,228237.58,248055.31,222727.22,236163.17,0,
59,321.1658238397187,0.8047727,,,,,,,,,,,68683.11,47708.062,72618.375,72716.9,53685.258,43255.65,67123.34,42214.26,59137.707,49340.71,0,
62,266.1600496833747,0.8047727,,,,,,,,,,,451865.34,493917.25,548283.56,1198105.2,1393929.2,251803.31,329009.78,222953.48,174144.23,273880.34,0,
63,275.12396736537715,0.80416375,,,,,,,,,,,993692.2,797464.3,809416.06,902584.0,1190183.6,513205.4,812287.44,578339.6,626584.0,591991.6,2987.4434,
64,259.1291741401397,0.80416375,,,,,,,,,,,3826984.2,3317522.8,3450624.8,3602434.5,5005361.5,2210052.2,2747829.0,2012318.9,2064632.1,3040381.5,12097.139,
65,393.13741842549047,0.8047727,,,,,,,,,,,109034.13,78172.33,120760.79,80254.15,107004.62,63728.168,85543.68,84904.6,80983.484,66754.85,0,
79,541.1743182561981,0.8047727,,,,,,,,,,,103183.08,108439.24,108167.91,97812.67,92090.945,63772.043,74435.1,64678.242,74187.36,67415.55,0,
84,420.1481898432924,0.8047727,,,,,,,,,,,70963.31,76835.66,81270.664,61474.855,49370.96,43478.438,56774.785,48934.035,42713.484,42679.508,0,
87,347.1452316172468,0.8041637,,,,,,,,,,,1411624.6,1594004.0,1662171.2,1481749.6,1952879.4,1314312.9,1274740.2,1247643.4,1325698.4,1624169.6,3749.858,
88,361.1609168130986,0.8041637,,,,,,,,,,,5795769.5,5660732.0,5881578.0,8410081.0,1.0686383E7,3583841.8,3522724.2,3073875.2,3285188.5,3400911.5,13118.002,
93,333.11600590015837,0.80627936,,,,,,,,,,,106843.08,118425.85,110238.36,85217.11,101020.86,42076.562,74610.78,71448.06,78979.0,41618.125,3617.3833,
94,390.1376680622187,0.8070998,,,,,,,,,,,83687.01,81422.164,56223.055,44268.715,43211.613,38472.67,62996.77,62942.363,60873.25,43825.72,0,
96,231.08420072434077,0.8070998,,,,,,,,,,,176409.33,182629.22,178858.17,99333.51,95490.695,79043.83,81931.93,79016.52,72084.375,81790.805,0,
98,303.1553426451429,0.8047727,,,,,,,,,,,85062.695,81176.33,82769.484,92321.805,81329.36,47516.285,56063.58,41796.797,43609.562,56586.703,0,
104,202.18028125441322,0.8041637,,,,,,,,,,,134598.78,156262.69,170020.98,289887.47,287489.88,121088.234,137735.89,130554.984,128552.0,136442.98,2895.545,
107,272.11104567108305,0.81751126,,,,,,,,,,,25012.945,53406.977,50612.97,22792.59,24755.812,17771.969,23206.379,16412.488,17702.62,19675.266,0,
108,285.14474534008906,0.8047727,,,,,,,,,,,142889.81,188570.88,186802.64,116892.38,115537.45,167522.73,192097.28,145079.88,149647.06,175695.73,0,
114,180.10202341130537,0.80717456,,,,,,,,,,,59058.727,89197.07,70456.05,61099.383,71310.234,58997.152,71324.53,55355.336,64680.152,63183.41,0,
120,331.15020967024503,0.80717456,,,,,,,,,,,75664.5,82185.18,80652.96,99525.88,133905.44,42949.74,58317.79,38292.1,40406.797,41380.57,0,
123,289.0897157148943,0.8150439,,,,,,,,,,,67433.43,65097.363,61702.86,33402.305,71237.16,31273.03,28892.172,31206.918,24493.105,31877.316,0,
124,375.17658410929886,0.8149606,,,,,,,,,,,197624.77,230138.97,237345.47,270050.25,432775.53,121861.195,154386.45,123209.7,127686.58,130368.85,0,
127,391.1218905822643,0.8139329,,,,,,,,,,,39730.68,69404.53,42279.887,35020.367,38781.316,29881.01,34088.023,25445.766,34779.9,34241.363,0,
129,439.14294632466925,0.8263206,,,,,,,,,,,97628.51,97910.28,90759.03,713653.75,632159.8,8913.148,5331.864,0,0,0,0,
132,365.1060009914379,0.83665866,,,,,,,,,,,192669.39,168206.88,110867.59,215108.28,216665.56,160754.14,103308.11,159071.19,108372.71,102479.125,0,
134,341.05157756643774,0.8379693,,,,,,,,,,,127026.16,110575.33,65053.67,844013.8,817769.0,16048.702,14225.567,0,0,0,0,
135,363.0334194260535,0.842689,,,,,,,,,,,129278.125,156236.53,90152.16,1511648.5,598904.7,45690.43,21147.07,0,0,0,0,
136,206.11775673372074,0.8508932,,,,,,,,,,,25237.28,37471.508,36538.324,74386.734,49982.793,9484.825,6011.2896,5735.7036,0,0,0,
137,164.92063370263972,0.8606247,,,,,,,,,,,106634.61,84450.96,75184.82,154952.88,139786.28,143190.52,51861.906,155795.8,79198.27,61195.66,14797.474,
138,260.11327184221665,0.9111675,,,,,,,,,,,425586.44,498663.22,505620.0,20228.863,23802.434,192336.12,300018.97,151944.4,280651.75,345151.62,0,
141,275.1239453733717,0.9151967,,,,,,,,,,,195567.4,297318.72,286918.94,53324.594,52670.625,0,216751.36,17952.797,107009.266,182129.81,0,
142,153.99787222036505,0.9431619,,,,,,,,,,,16298.605,21174.959,22003.09,15018.926,12215.594,6166.9204,22327.727,11734.457,19212.875,21052.559,75437.25,
143,363.0335250802362,0.91658646,,,,,,,,,,,0,0,0,860347.6,1455266.8,42583.48,0,0,0,0,0,
145,482.9833413974811,0.93270797,,,,,,,,,,,0,0,0,105104.72,99667.15,0,0,0,0,0,0,
146,252.1443073284071,0.9452194,,,,,,,,,,,0,14889.58,12760.849,97612.24,92734.74,18133.24,4822.506,9122.463,0,0,0,
147,236.1494755502544,0.96650916,,,,,,,,,,,0,42585.28,42800.81,117349.43,159789.88,50025.37,29612.662,74046.16,27564.027,19449.715,0,
148,245.11351993866066,0.9728897,,,,,,,,,,,203454.38,235714.14,251577.55,402912.7,362485.12,406865.03,268204.3,367482.66,361118.38,203302.31,0,
149,333.1294575124824,0.9818592,,,,,,,,,,,0,53606.89,42116.664,68959.04,71144.19,75964.11,44011.004,84575.28,60392.367,29527.758,0,
150,336.0960471428852,0.9900317,,,,,,,,,,,0,2359.1265,0,95859.03,65484.125,0,0,0,0,0,0,
151,201.12361296584837,1.0145047,,,,,,,,,,,10434.483,5427.125,9825.0,24480.723,19679.896,11621.846,11973.115,12886.949,8161.6978,4442.502,0,
152,296.1347559164834,1.0237268,,,,,,,,,,,19288.402,144728.75,152378.9,151178.83,159973.92,37319.7,145783.75,33147.81,15655.735,12676.447,0,
154,326.14493619527764,1.0167211,,,,,,,,,,,11886.826,23308.953,24325.924,28196.883,41887.598,22698.305,18103.0,20273.207,11063.843,5956.314,0,
155,307.1500407209523,1.0237268,,,,,,,,,,,47173.293,74966.68,78469.41,63303.746,64733.195,68686.35,53368.145,53170.816,27137.041,21403.5,0,
156,250.16518422308278,1.0237268,,,,,,,,,,,49350.96,144818.83,196698.08,278795.3,439856.22,195734.83,173318.23,172936.92,56845.2,31166.754,0,
157,379.12195666366335,1.021444,,,,,,,,,,,95430.29,75838.4,65669.63,94621.43,81334.14,59723.402,55428.625,62819.55,48641.11,34878.367,0,
159,289.1395765743283,1.0237268,,,,,,,,,,,63142.445,79488.805,84485.836,103823.56,87666.45,61664.695,39785.273,65319.586,50913.1,22244.11,0,
160,310.1499760359706,1.0237268,,,,,,,,,,,76937.33,132599.27,138947.05,96009.09,146431.0,115773.87,112810.086,183034.44,69447.66,49503.645,0,
162,259.1292602685257,1.0237268,,,,,,,,,,,1091146.1,2512778.2,2534484.0,2644392.5,3487086.0,2597210.2,2488805.0,2387299.8,790642.94,751833.5,0,
163,275.12399572737894,1.0237268,,,,,,,,,,,143033.38,383815.53,353632.34,470487.88,568142.5,407587.66,362699.3,357697.6,124141.45,123124.73,0,
164,280.1393236364887,1.0237268,,,,,,,,,,,47691.53,76365.18,78725.97,166214.14,184254.72,99668.03,99104.24,96239.74,34304.38,57698.902,0,
165,324.16556179235107,1.0237268,,,,,,,,,,,179260.52,271476.44,308791.66,244576.22,269622.56,270096.0,262074.81,268872.4,143553.22,151636.47,0,
167,266.1601283038402,1.0237268,,,,,,,,,,,66118.625,196006.0,250839.78,565936.44,844922.94,163705.89,171246.0,92067.88,25598.15,15655.814,0,
168,347.14541595319616,1.0237268,,,,,,,,,,,538198.6,1766184.2,1608904.4,1148553.9,1661375.6,1471769.1,1727113.5,1904477.9,584538.56,631186.7,0,
171,338.1812420378757,1.0257494,,,,,,,,,,,92711.64,133771.97,135233.5,128994.55,110041.46,122470.86,122259.66,124323.53,64100.453,67238.93,0,
172,319.10035110643065,1.02592,,,,,,,,,,,139121.58,93352.86,96277.28,61824.78,80677.05,62780.754,86301.1,50685.816,84329.92,61427.465,0,
173,202.18033709952044,1.0237268,,,,,,,,,,,59839.586,99017.31,155090.28,317006.34,318495.6,125759.57,129691.35,129447.1,38951.98,33775.023,0,
175,262.12877726142,1.0237268,,,,,,,,,,,20544.785,33027.855,39966.516,189773.86,26860.566,32350.705,35001.574,32955.56,15240.816,16360.932,0,
178,285.14482788827314,1.0317938,,,,,,,,,,,168986.34,287170.0,280492.78,237508.55,298166.28,367013.06,374377.22,334819.25,146650.17,139556.81,0,
179,292.1393124828214,1.0237268,,,,,,,,,,,39515.95,63792.81,41119.914,111746.36,82560.125,61236.22,57983.64,56154.11,54947.906,47363.293,0,
181,333.1160090662005,1.0411514,,,,,,,,,,,170395.45,56878.652,57636.723,0,35318.336,34544.957,43906.367,30964.348,200897.14,149630.9,3028.656,
183,352.19698621438846,1.0292637,,,,,,,,,,,69618.29,89267.305,95264.336,73407.75,91058.58,86200.89,79616.63,88602.58,52243.793,47104.36,0,
186,231.0841216049161,1.0384266,,,,,,,,,,,273596.38,148271.77,161573.56,96656.28,148967.1,112854.34,166995.73,98112.41,232429.12,138800.16,0,
188,180.10201931861133,1.0317938,,,,,,,,,,,34190.32,25488.824,44485.348,41071.566,40578.727,66567.49,61395.32,67366.414,26999.355,30254.846,0,
189,343.15028743800434,1.0403082,,,,,,,,,,,43175.348,36934.125,42998.62,42130.484,36950.53,36683.23,30531.807,41576.11,30468.492,29618.426,0,
190,317.1711836162965,1.0414585,,,,,,,,,,,43779.33,38302.582,43835.598,73458.93,73041.03,29874.113,27022.895,28196.096,19976.965,21746.049,0,
192,323.1268457594101,1.0567449,,,,,,,,,,,5284.6885,8197.771,7843.332,141009.22,134489.22,0,0,0,0,0,0,
194,201.0733579568844,1.0653589,,,,,,,,,,,90399.36,75829.875,69822.35,42114.37,43618.08,28688.123,60440.715,26318.084,75753.44,48233.375,0,
195,377.14217397762707,1.0663474,,,,,,,,,,,67884.66,52744.63,47459.332,29730.22,33516.336,28450.504,205115.66,29826.09,62281.125,46605.05,0,
196,245.09977551448802,1.0669572,,,,,,,,,,,104350.06,101382.74,79520.95,35541.555,36068.53,33184.52,70656.19,30372.184,75373.45,52740.535,0,
197,310.1495551152994,1.0784059,,,,,,,,,,,119965.2,86153.95,92597.414,393157.22,273485.47,59012.473,65379.684,33516.812,34444.79,30195.04,0,
199,574.2240298893671,1.0786253,,,,,,,,,,,75218.62,51601.402,70002.7,0,0,80481.14,73801.984,67716.26,43662.58,60399.605,0,
200,361.16070406901196,1.0867743,,,,,,,,,,,1.4352136E7,1.3579706E7,1.3525883E7,2.1677788E7,2.2189526E7,9275091.0,9300816.0,8485133.0,8745901.0,8632734.0,0,
203,377.10627656516823,1.0917916,,,,,,,,,,,60684.375,59932.273,53648.684,0,0,25103.508,47356.918,25600.99,116993.72,51187.496,0,
205,242.10010802359875,1.0958412,,,,,,,,,,,117133.914,125440.15,99798.016,55090.805,62683.62,47160.445,100788.94,54730.785,232212.12,86870.945,0,
206,296.13524816213396,1.0956028,,,,,,,,,,,117138.95,69694.75,68464.305,69108.89,69819.93,112539.695,67408.445,112885.31,115024.06,116303.92,0,
208,210.1125690505434,1.116716,,,,,,,,,,,31865.63,28166.838,28742.514,59109.27,43113.48,21519.207,19701.885,21752.898,19225.24,20893.027,0,
210,206.11769340738766,1.1195183,,,,,,,,,,,95219.58,81748.484,69270.695,205109.02,227542.67,48400.17,27644.473,12640.266,0,0,0,
211,206.13883888708466,1.1347482,,,,,,,,,,,37711.43,27870.709,59637.91,110041.08,84554.91,22455.508,23135.652,18390.27,17037.445,16541.566,0,
212,382.1713581701671,1.140561,,,,,,,,,,,157557.61,97179.94,189207.1,104068.41,108792.78,225840.72,141164.23,288396.38,146429.53,188427.14,0,
213,404.15369558970616,1.1368536,,,,,,,,,,,91376.0,199390.17,123653.92,35983.03,40651.18,35376.89,109944.79,35696.27,185387.52,111814.266,0,
214,486.20804783131524,1.1446905,,,,,,,,,,,75678.66,129526.03,87488.96,0,0,101183.23,63705.266,42283.586,46217.523,44681.13,0,
215,306.1548590058037,1.152199,,,,,,,,,,,28826.148,34341.61,35454.793,53866.53,106326.1,25680.629,24888.611,25391.414,27562.656,28991.357,0,
216,228.12330893791318,1.1584561,,,,,,,,,,,28426.973,33875.477,34546.645,71096.8,69485.836,26802.488,25942.441,32342.473,24754.979,32845.375,0,
217,321.1657836329729,1.1596849,,,,,,,,,,,63235.586,37818.805,177370.48,54222.414,71424.51,49357.6,41202.86,52028.297,40180.297,43226.043,0,
218,377.14258471989314,1.1449118,,,,,,,,,,,55747.883,217476.64,46568.168,27568.223,27734.977,25009.514,45497.93,19444.625,74012.14,37549.305,0,
219,232.11821569210116,1.1695484,,,,,,,,,,,66519.96,38038.24,49695.1,58892.73,59292.99,23870.99,24609.396,24206.832,25408.71,27103.697,0,
220,319.1005783238346,1.1758043,,,,,,,,,,,130411.195,249689.58,188270.06,124027.79,120074.29,78347.51,198869.83,79627.06,216433.2,145119.7,0,
221,205.0897640546106,1.1843376,,,,,,,,,,,33347.133,30892.697,26953.088,0,0,20041.102,18613.756,37091.457,33111.72,48742.71,0,
223,331.1502048700282,1.1970934,,,,,,,,,,,251454.39,227321.31,232359.83,368378.28,374532.84,129291.2,159662.48,158715.44,158592.53,146866.52,0,
224,180.1020316447141,1.202014,,,,,,,,,,,231562.95,186306.22,221239.89,304060.16,238372.08,139613.72,105327.16,168952.39,167724.5,128014.555,0,
225,242.1003830824434,1.2035729,,,,,,,,,,,39590.977,86904.09,118800.35,31190.846,31836.492,23994.555,57208.996,23697.777,59687.688,43310.59,0,
226,201.07350705238315,1.206216,,,,,,,,,,,28642.832,86952.44,69349.8,17483.342,15655.506,13466.091,35330.465,10676.673,43752.137,27254.945,0,
227,343.15040752285205,1.2080561,,,,,,,,,,,595700.2,892840.6,904178.75,1206830.5,1208613.5,710443.7,630327.06,664435.8,624764.6,628208.3,0,
228,283.05243791869765,1.2126496,,,,,,,,,,,36558.805,41676.227,44264.305,71519.836,77035.3,28050.43,25817.398,23212.816,29603.883,30864.95,0,
229,260.1132481213848,1.237363,,,,,,,,,,,2621041.5,2069134.1,2181783.5,257716.83,266702.8,1917396.1,1638809.1,1799621.5,1672738.2,1679833.1,0,
230,282.0955098238709,1.2334691,,,,,,,,,,,19059.086,53720.04,43779.367,0,0,11400.251,26813.492,8804.684,22995.715,21030.535,0,
231,303.1056776614455,1.2612181,,,,,,,,,,,14054.232,110021.5,36483.79,14717.809,9773.061,3078.5933,25448.3,2618.8718,22739.969,15462.233,0,
232,338.18127910213707,1.2632971,,,,,,,,,,,262540.34,264566.44,275960.16,273954.06,123926.48,106517.89,230872.75,363985.66,354606.3,240008.61,0,
233,215.089297884073,1.2764462,,,,,,,,,,,69572.28,146194.14,123952.08,74089.05,39155.355,19634.62,95442.74,16167.966,70070.32,60093.69,0,
234,324.16570130938226,1.2811563,,,,,,,,,,,278393.8,261543.33,197060.05,117035.055,91040.26,238276.55,214247.33,242967.97,252121.16,185911.47,0,
235,296.1356257685401,1.3085659,,,,,,,,,,,181164.23,173624.53,173693.08,167957.81,177564.86,181943.06,156033.66,164950.67,163011.22,147403.42,0,
236,245.09987386534505,1.314823,,,,,,,,,,,22747.434,45408.4,104039.1,20559.768,21256.873,16585.375,89268.766,14178.456,24964.19,30809.424,0,
238,347.1320273126553,1.3344038,,,,,,,,,,,26382.44,58635.844,197800.86,26380.207,21337.748,20046.125,55296.375,15552.866,29908.521,78777.92,0,
239,366.21286427798634,1.3659396,,,,,,,,,,,134654.42,128600.08,132013.62,41387.133,35434.516,38362.63,38572.75,41440.273,36278.535,34496.965,0,
240,263.1238838424187,1.3779126,,,,,,,,,,,9268.601,8603.911,7936.3506,44965.625,47085.82,0,2288.79,6234.2446,5373.4697,5013.2354,0,
241,375.1768056405092,1.3771938,,,,,,,,,,,904637.0,868160.1,844851.9,1492688.8,1556036.4,609133.8,564842.94,569890.94,554040.8,523038.25,0,
243,248.11315578620284,1.3702389,,,,,,,,,,,14906.636,15713.717,15589.606,117007.54,117562.09,0,8663.139,10495.626,13910.59,4503.6133,0,
244,315.1553146080848,1.3984689,,,,,,,,,,,127012.01,107090.86,104439.14,169605.05,171076.1,79517.56,83776.4,41751.047,36886.246,72355.695,0,
245,333.1168893336076,1.4112504,,,,,,,,,,,32300.479,57193.965,75028.83,37748.562,31757.656,33637.96,131556.03,27869.059,66595.81,142890.3,0,
246,264.15974950955496,1.4071529,,,,,,,,,,,155688.6,125539.89,146304.9,47763.547,41879.16,179250.28,139799.16,182544.47,147092.27,160141.77,0,
247,247.12912933529,1.4070542,,,,,,,,,,,41113.418,38577.6,40889.316,97193.836,99054.55,21575.21,20996.943,0,0,0,0,
248,352.1971362230721,1.4156142,,,,,,,,,,,74615.66,71074.78,73981.07,48412.508,49092.035,47921.74,184645.22,147915.83,55137.742,207645.2,0,
249,289.0900045785305,1.4087888,,,,,,,,,,,16395.67,28975.355,49881.137,17987.992,19137.035,14356.556,41800.668,14168.844,22948.21,40608.457,0,
250,386.16665359197975,1.4239483,,,,,,,,,,,33729.332,29880.984,23027.586,55019.32,49998.273,21246.96,20836.615,24411.93,20519.266,21640.098,0,
251,303.15531638962847,1.4132626,,,,,,,,,,,47538.0,138348.11,38126.836,58462.043,57848.69,34512.297,40587.71,42420.66,34987.273,32569.84,0,
252,391.12263480404823,1.4175936,,,,,,,,,,,28615.885,196591.64,204203.72,32310.955,32005.492,14540.953,40276.703,17563.072,23194.963,82584.15,0,
255,306.15492812937464,1.4426998,,,,,,,,,,,28234.256,28736.553,34876.4,98188.15,42025.17,20320.957,21263.238,22417.805,26753.164,23422.074,0,
256,309.1085208838447,1.4548362,,,,,,,,,,,31685.197,34286.527,30224.418,21900.777,19838.672,107360.445,90408.12,108115.164,95035.945,87982.78,0,
257,299.1605722649112,1.4524269,,,,,,,,,,,132852.69,93962.734,113218.3,365661.66,388024.47,86680.516,72368.414,86042.32,115848.6,81191.59,0,
258,511.1770908381656,1.4618126,,,,,,,,,,,100399.94,123296.484,119658.49,107209.24,110768.23,96428.28,168392.88,96420.08,106207.66,152961.42,0,
260,286.14418512470723,1.4598397,,,,,,,,,,,600196.75,561899.56,553538.94,579165.7,580565.6,418692.94,396458.2,412017.44,402857.66,388642.7,17231.396,
261,168.13846732028244,1.4711157,,,,,,,,,,,18918.615,18342.324,17809.758,90612.09,94356.5,0,2340.484,0,0,0,0,
262,242.10031427100984,1.472986,,,,,,,,,,,63596.227,99624.16,148303.67,29541.215,29758.098,45766.445,85088.23,51647.43,53669.895,117524.72,0,
264,588.2399341222076,1.4988495,,,,,,,,,,,121895.11,111501.66,122500.42,0,0,79466.81,84352.19,32325.668,33939.668,29358.562,0,
265,263.1238592457966,1.5185242,,,,,,,,,,,13641.566,13831.403,11224.076,80605.58,83791.49,8863.109,9356.483,12045.262,11025.889,12506.073,0,
266,254.17536799959075,1.5255969,,,,,,,,,,,40773.14,123611.86,119192.47,24652.357,24210.824,41901.27,137000.48,42184.477,115498.47,38672.246,0,
267,251.10295460395523,1.5210211,,,,,,,,,,,181905.94,168782.94,131094.86,95062.625,117821.4,127099.75,185488.94,167472.38,136366.14,118654.27,0,
268,318.1674051054332,1.5594672,,,,,,,,,,,11992.053,15022.482,12754.503,65174.51,42827.254,0,0,0,0,0,0,
269,259.12914788378225,1.5933617,,,,,,,,,,,41128.254,79480.71,67571.0,181061.69,195964.38,14186.785,42442.902,2487.3384,12382.883,20241.672,0,
270,391.122591391293,1.6194776,,,,,,,,,,,28849.418,42006.746,83302.64,25250.178,22816.348,23525.773,33245.84,27035.027,28012.094,104171.72,0,
271,217.10496951921195,1.6317477,,,,,,,,,,,529055.7,657409.25,798571.56,586623.06,636381.0,453721.3,603923.7,418785.38,487612.84,778585.44,71126.83,
272,274.1286906535039,1.6614374,,,,,,,,,,,185182.4,179709.19,167079.31,29315.873,30877.918,38390.055,43404.375,36815.383,36358.465,34585.4,0,
273,336.2019046428423,1.6910856,,,,,,,,,,,31625.9,36913.9,34677.637,28626.21,31845.36,29592.95,33422.703,72190.52,79167.51,41886.742,0,
274,214.10753032782196,1.6990776,,,,,,,,,,,17237.607,17979.035,19042.64,9996.021,7489.0103,68534.47,44965.37,64615.246,46362.25,71013.01,168579.75,
